Time step:,xu:,x0:,x1:,x2:,x3:,Integral:,%ee:
106,0.654424,0.00532808,0.0468947,0.142632,0.150722,2.21568,65.4424
107,0.651811,0.00541227,0.0474534,0.143821,0.151502,2.2104,65.1811
108,0.649209,0.00549706,0.0480134,0.145006,0.152274,2.20515,64.9209
109,0.646618,0.00558245,0.0485745,0.146187,0.153038,2.19994,64.6618
110,0.644036,0.00566843,0.0491368,0.147365,0.153794,2.19475,64.4036
111,0.641465,0.00575499,0.0497003,0.148538,0.154541,2.1896,64.1465
112,0.638905,0.00584215,0.050265,0.149707,0.155281,2.18448,63.8905
113,0.636354,0.00592989,0.0508307,0.150872,0.156013,2.17939,63.6354
114,0.633814,0.00601822,0.0513976,0.152034,0.156737,2.17432,63.3814
115,0.631284,0.00610712,0.0519655,0.153191,0.157453,2.16929,63.1284
116,0.628764,0.00619661,0.0525344,0.154344,0.158161,2.16429,62.8764
117,0.626254,0.00628666,0.0531044,0.155493,0.158862,2.15932,62.6254
118,0.623754,0.00637729,0.0536754,0.156638,0.159556,2.15438,62.3754
119,0.621263,0.00646849,0.0542473,0.157779,0.160241,2.14947,62.1263
120,0.618783,0.00656025,0.0548202,0.158916,0.16092,2.14459,61.8783
121,0.616313,0.00665257,0.0553941,0.160049,0.161591,2.13973,61.6313
122,0.613853,0.00674546,0.0559689,0.161178,0.162255,2.13491,61.3853
123,0.611402,0.0068389,0.0565445,0.162303,0.162911,2.13012,61.1402
124,0.608962,0.00693289,0.057121,0.163424,0.163561,2.12535,60.8962
125,0.606531,0.00702744,0.0576984,0.16454,0.164203,2.12061,60.6531
126,0.604109,0.00712253,0.0582766,0.165653,0.164838,2.1159,60.4109
127,0.601698,0.00721817,0.0588556,0.166762,0.165467,2.11122,60.1698
128,0.599296,0.00731435,0.0594354,0.167866,0.166088,2.10657,59.9296
129,0.596903,0.00741107,0.0600159,0.168967,0.166703,2.10194,59.6903
130,0.594521,0.00750832,0.0605972,0.170063,0.167311,2.09734,59.4521
131,0.592147,0.0076061,0.0611792,0.171155,0.167912,2.09277,59.2147
132,0.589783,0.00770442,0.061762,0.172243,0.168507,2.08823,58.9783
133,0.587429,0.00780326,0.0623454,0.173328,0.169095,2.08371,58.7429
134,0.585084,0.00790262,0.0629294,0.174408,0.169676,2.07923,58.5084
135,0.582748,0.0080025,0.0635141,0.175484,0.170252,2.07476,58.2748
136,0.580422,0.00810289,0.0640994,0.176555,0.17082,2.07033,58.0422
137,0.578105,0.0082038,0.0646854,0.177623,0.171383,2.06592,57.8105
138,0.575797,0.00830521,0.0652719,0.178687,0.171939,2.06154,57.5797
139,0.573498,0.00840714,0.0658589,0.179747,0.172489,2.05718,57.3498
140,0.571209,0.00850956,0.0664466,0.180803,0.173032,2.05285,57.1209
141,0.568929,0.00861248,0.0670347,0.181854,0.17357,2.04855,56.8929
142,0.566658,0.0087159,0.0676233,0.182902,0.174102,2.04427,56.6658
143,0.564396,0.00881981,0.0682125,0.183945,0.174627,2.04002,56.4396
144,0.562142,0.0089242,0.0688021,0.184985,0.175147,2.03579,56.2142
145,0.559898,0.00902909,0.0693921,0.18602,0.17566,2.03159,55.9898
146,0.557663,0.00913445,0.0699826,0.187051,0.176168,2.02741,55.7663
147,0.555437,0.00924029,0.0705735,0.188079,0.176671,2.02326,55.5437
148,0.55322,0.00934661,0.0711648,0.189102,0.177167,2.01913,55.322
149,0.551011,0.00945339,0.0717564,0.190121,0.177658,2.01503,55.1011
150,0.548812,0.00956065,0.0723484,0.191136,0.178143,2.01095,54.8812
151,0.546621,0.00966836,0.0729408,0.192147,0.178623,2.0069,54.6621
152,0.544439,0.00977654,0.0735335,0.193155,0.179097,2.00287,54.4439
153,0.542265,0.00988517,0.0741265,0.194158,0.179565,1.99886,54.2265
154,0.540101,0.00999426,0.0747198,0.195157,0.180028,1.99488,54.0101
155,0.537944,0.0101038,0.0753133,0.196152,0.180486,1.99092,53.7944
156,0.535797,0.0102138,0.0759072,0.197143,0.180939,1.98699,53.5797
157,0.533658,0.0103242,0.0765012,0.19813,0.181386,1.98308,53.3658
158,0.531528,0.0104351,0.0770955,0.199114,0.181828,1.97919,53.1528
159,0.529406,0.0105464,0.07769,0.200093,0.182265,1.97533,52.9406
160,0.527292,0.0106581,0.0782846,0.201068,0.182697,1.97149,52.7292
161,0.525187,0.0107702,0.0788795,0.202039,0.183124,1.96767,52.5187
162,0.523091,0.0108828,0.0794745,0.203007,0.183545,1.96388,52.3091
163,0.521003,0.0109958,0.0800696,0.20397,0.183962,1.9601,52.1003
164,0.518923,0.0111092,0.0806649,0.204929,0.184374,1.95636,51.8923
165,0.516851,0.0112231,0.0812602,0.205885,0.184781,1.95263,51.6851
166,0.514788,0.0113373,0.0818557,0.206836,0.185183,1.94892,51.4788
167,0.512733,0.011452,0.0824513,0.207784,0.18558,1.94524,51.2733
168,0.510686,0.011567,0.0830469,0.208728,0.185972,1.94158,51.0686
169,0.508648,0.0116824,0.0836425,0.209667,0.18636,1.93794,50.8648
170,0.506617,0.0117983,0.0842382,0.210603,0.186743,1.93433,50.6617
171,0.504595,0.0119145,0.0848339,0.211535,0.187122,1.93073,50.4595
172,0.50258,0.0120311,0.0854296,0.212463,0.187496,1.92716,50.258
173,0.500574,0.0121481,0.0860254,0.213388,0.187865,1.9236,50.0574
174,0.498576,0.0122655,0.086621,0.214308,0.18823,1.92007,49.8576
175,0.496585,0.0123833,0.0872167,0.215224,0.18859,1.91656,49.6585
176,0.494603,0.0125014,0.0878123,0.216137,0.188946,1.91307,49.4603
177,0.492628,0.0126199,0.0884078,0.217046,0.189298,1.90961,49.2628
178,0.490662,0.0127387,0.0890032,0.217951,0.189645,1.90616,49.0662
179,0.488703,0.012858,0.0895986,0.218852,0.189988,1.90273,48.8703
180,0.486752,0.0129775,0.0901938,0.21975,0.190327,1.89933,48.6752
181,0.484809,0.0130975,0.0907889,0.220643,0.190661,1.89594,48.4809
182,0.482874,0.0132178,0.0913839,0.221533,0.190992,1.89258,48.2874
183,0.480946,0.0133384,0.0919787,0.222419,0.191318,1.88923,48.0946
184,0.479026,0.0134594,0.0925734,0.223301,0.19164,1.8859,47.9026
185,0.477114,0.0135807,0.0931679,0.224179,0.191958,1.8826,47.7114
186,0.475209,0.0137023,0.0937622,0.225054,0.192272,1.87931,47.5209
187,0.473312,0.0138243,0.0943563,0.225925,0.192582,1.87605,47.3312
188,0.471423,0.0139466,0.0949501,0.226792,0.192888,1.8728,47.1423
189,0.469541,0.0140692,0.0955438,0.227656,0.19319,1.86957,46.9541
190,0.467666,0.0141922,0.0961372,0.228515,0.193489,1.86637,46.7666
191,0.465799,0.0143154,0.0967304,0.229372,0.193783,1.86318,46.5799
192,0.46394,0.014439,0.0973233,0.230224,0.194074,1.86001,46.394
193,0.462088,0.0145629,0.0979159,0.231073,0.194361,1.85686,46.2088
194,0.460243,0.0146871,0.0985083,0.231918,0.194644,1.85373,46.0243
195,0.458406,0.0148116,0.0991003,0.232759,0.194923,1.85061,45.8406
196,0.456576,0.0149363,0.0996921,0.233596,0.195199,1.84752,45.6576
197,0.454753,0.0150614,0.100283,0.234431,0.195471,1.84444,45.4753
198,0.452938,0.0151868,0.100875,0.235261,0.19574,1.84138,45.2938
199,0.45113,0.0153125,0.101465,0.236088,0.196005,1.83835,45.113
200,0.449329,0.0154384,0.102056,0.236911,0.196266,1.83532,44.9329
201,0.447535,0.0155646,0.102646,0.23773,0.196524,1.83232,44.7535
202,0.445749,0.0156911,0.103235,0.238546,0.196779,1.82934,44.5749
203,0.443969,0.0158179,0.103825,0.239359,0.19703,1.82637,44.3969
204,0.442197,0.0159449,0.104413,0.240167,0.197277,1.82342,44.2197
205,0.440432,0.0160723,0.105002,0.240973,0.197521,1.82049,44.0432
206,0.438673,0.0161998,0.10559,0.241774,0.197762,1.81757,43.8673
207,0.436922,0.0163277,0.106178,0.242573,0.198,1.81468,43.6922
